id_video,c1_description,c2_description,c3_description,c4_description,c5_description,c6_description,c7_description,c8_description
P_088,"One hand, closed palm, thumb finger and index finger pinching together, slowly sliding upwards, once","One hand, closed palm, thumb finger and index finger pinching together, slowly sliding downwards, once","One hand, palm partially open, all fingers tapping together, repeatedly","One hand, palm partially open, all fingers tapping together, repeatedly","One hand, arm extended, open palm facing outward, blocking view in front, stationary","One hand, arm extended, open palm facing outward, blocking view in front, stationary","One hand, index finger extended upward, stationary","One hand, open palm facing outward, moving downwards, once"
P_089,"One hand, index finger extended pointing upwards, repeadly","One hand, index finger extended, pointing down, repeatedly","Two hands, open palms facing down, crossed in front, stationary","One hand, closed palm, thumb finger extended upward, stationary","Two hands, open palms facing down, crossed in front, stationary","Two hands, closed palms, facing outward, quickly opening fingers, once","One hand, open and raised palm, facing forward, stationary","One hand, open palm facing outward, moving downwards, once"
P_090,"One hand, open palm, positioned on the side of the head, spreading fingers near the ear, stationary + one hand, index finger extended pointing upwards, repeatedly","One hand, open palm spreads fingers near the ear, stationary + one hand, index finger extended pointing downwards, repeatedly","One hand, arm extended, open palm facing outward, blocking view in front, stationary","One hand, extended hand, open palm facing upward, handing over to the front, repeatedly","One hand, arm extended, open palm facing outward, blocking view in front, stationary","One hand, arm extended, open palm facing forward, moving downwards, unblocking view in front, once","One hand, open and raised palm, facing forward, stationary","One hand, open palm facing out, waving left-right, repeatedly"
P_091,"One hand, open palm facing up, moving upwards, repeadly","One hand, open palm facing down, moving downwards, repeatedly","One hand, palm partially open in front, all fingers tapping together, repeatedly","One hand, all fingers pinched together, slowly opening outward, repeatedly","Two hands, open palms facing outward, crossing and uncrossing in front, repeatedly","Two hands, open palms facing outward, crossing and uncrossing in front, repeatedly","One hand, index finger extended upward, stationary","One hand, open palm facing out, waving left-right, repeatedly"
P_092,"One hand, fingers pinching knob in front, rotating clockwise, repeatedly","One hand, open palm facing down, moving downwards, repeatedly","One hand, thumb finger and index finger pinching together, swiping over mouth rightwards, repeatedly","One hand, all fingers pinched together near mouth, quickly opening outward, repeatedly","Two hands, index finger extendeds and thumbs extended, forming a rectangular shape in front of the face, stationary + two hands, index fingers extended crossing in front of mouth, stationary","Two hands, index finger and thumbs extended, forming a rectangular shape in front of the face, stationary","One hand, open and raised palm, facing forward, stationary","Two hands, open palms facing out, waving left-right, repeatedly"
P_093,"One hand, open palm facing up, moving upwards, once","One hand, open palm facing down, moving downwards, repeatedly","Two hands, open palms facing each other, clapping in front, once","Two hands, open palms facing each other, clapping in front, twice","Two hands, extended arms, open palms facing frontward, swiping leftwards in front, once","Two hands, extended arms, open palms facing frontward, swiping rightwards in front, once","One hand, open and raised palm, facing forward, stationary","One hand, open palm facing outward, moving downwards, once"
P_094,"One hand, index finger extended pointing sideward, swiping upwards, repeatedly","One hand, closed palm facing down, index finger extended pointing forward, swiping downwards, repeatedly","One hand, open palm facing inward, covering the mouth, stationary","One hand, open palm facing inwards, fingers touching the mouth, moving outward away from the mouth, once","One hand, open palm facing front, closing fist inward, once","One hand, closed palm facing forward, releasing and open palm, once","One hand, open and raised palm, facing forward, stationary","Two hands, open palms facing the sides, crossed in front, stationary"
P_095,"One hand, index finger extended, positioned on the side of the head, pointing to ear, stationary + one hand, index finger extended, pointing upwards, repeatedly","One hand, extended index finger poiting the ear, stationary + one hand, open palm facing down, moving downwards, repeatedly","One hand, open palm facing inward, covering the mouth, stationary","One hand, open palm facing inwards, fingers touching the mouth, moving outward away from the mouth, once","Two hands, palms open, one hand horizontally placed over the other in a vertical , forming a ""t"" shape, stationary","Two hands, open palms forming a ""t"" shape, then moving apart downwards, once","One hand, open and raised palm, facing forward, stationary","One hand, closed palm facing inwards, thumb and midi fingers extended, moving downwards in front, once"
P_096,"One hand, index finger extended pointing up, repeadly","One hand, index finger extended pointing down, moving downwards, repeatedly","One hand, thumb finger and index finger pinching together, swiping over mouth rightwards, repeatedly",Unknown,"One hand, open palm facing out, waving left-right, repeatedly","One hand, open palm facing out, waving left-right, repeatedly","One hand, open and raised palm, facing forward, stationary","Two hands, open palms facing out, waving left-right, repeatedly"
P_097,"One hand, index and thumb fingers pinching knob in front, rotating clockwise, repeatedly","One hand, index and thumb fingers pinching knob in front, rotating counterclockwise, repeatedly","One hand, index finger extended, placed over the mouth, stationary","One hand, back of the hand facing up, moving upwards, once","One hand, arm extended, open palm facing outward, blocking view in front, stationary","One hand, open palm facing down, swiping upwards, once","One hand, index finger extended upward, stationary","One hand, closed palm, index finger extended, pointing to front, repeatedly"
P_098,"One hand, index finger extended pointing sideward, swiping upwards, repeatedly","One hand, index finger extended pointing to ear, stationary + one hand, index finger extended pointing sideward, swiping downwards, repeatedly","One hand, thumb finger and index finger pinching together, swiping over mouth rightwards, repeatedly",Unknown,"One hand, index and middle fingers pointing at the eyes, stationary + two hands, open palms facing each other, crossing in front, once","One hand, index and middle fingers pointing at the eyes, stationary + one hand, thumb finger extended upward, stationary","One hand, open and raised palm, facing forward, stationary","Two hands, open palms facing down, hands crossed together in front, spreading outwards, once"
P_099,"One hand, index finger extended pointing frontward, swiping upwards, repeatedly","One hand, closed palm facing down, index finger extended pointing forward, swiping downwards, once","One hand, open palm facing inward, covering the mouth, stationary","One hand, open palm facing inwards, fingers touching the mouth, moving downwards away from the mouth, once","One hand, open palm facing out, waving left-right, repeatedly","One hand, open palm facing out, waving left-right, repeatedly","One hand, open and raised palm, facing forward, stationary","Two hands, closed palms facing frontward, index fingers extended, crossed in front, stationary"
P_100,"One hand, open palm, thumb and index fingers pinching together, slowly sliding upwards, once","One hand, open palm, thumb and index fingers pinching together, slowly sliding downwards, once","One hand, open palm facing front, closing fist inward, once","One hand, closed palm facing outward front, quickly opening fingers, once","One hand, open palm facing left, swiping leftwards, once","One hand, open palm facing down in front, moving upwards, once","One hand, index finger extended upward, stationary","One hand, open palm facing outward, moving downwards, once"
P_101,"One hand, back of the hand facing up, moving upwards, once ","One hand, open palm facing down, moving downwards, repeatedly","One hand, palm partially open, all fingers tapping together, once","One hand, back of the hand facing up, moving upwards quickly, once ","One hand, open palm facing left, swiping leftwards, once","One hand, extended arm, open palm facing leftward, swiping rightwards in front, once","One hand, open and raised palm, facing forward, stationary","One hand, closed palm, raised in the frontside, stationary"
